"database","scopus_id","openalex_id","title","journal","publication_year","doi","citations","abstract","authors","query_category"
"Scopus","SCOPUS_ID:105014616249",NA,"Unpacking Foreign Policy Capacity of Political Parties: The Case of BRICS Countries","Public Administration and Development",2026,"10.1002/pad.70022",1,"","Wen Y.","party_linkages"
"Scopus","SCOPUS_ID:85214085855",NA,"RETRACTED: Sustaining Rural Livelihoods Through Participatory Water Governance: A Review of Community-Driven Water Resource Management Models in East and Central Africa","Environmental Quality Management",2025,"10.1002/tqem.70023",9,"","Lema M.W.","constituency_representation"
"Scopus","SCOPUS_ID:85149885800",NA,"Legislative policymaking in Kenya","Governing Kenya Public Policy in Theory and Practice",2021,"10.1007/978-3-030-61784-4_5",3,"","Onyango G.","constituency_representation"
"Scopus","SCOPUS_ID:105005913039",NA,"Obstacles to Democracy in Sub-Saharan Africa: Key Challenges Seen Through a Sudanese Lens","Obstacles to Democracy in Sub Saharan Africa Key Challenges Seen Through A Sudanese Lens",2025,"10.1007/978-3-031-81174-6",2,"","Karamalla-Gaiballa N.","party_linkages"
"Scopus","SCOPUS_ID:105001585848",NA,"Power Sharing Following Violation-Marred Elections and Its Implication on the Protection of Human Rights in Africa","Ius Gentium",2025,"10.1007/978-3-031-81400-6_11",0,"","Sharifu A.","party_linkages"
"Scopus","SCOPUS_ID:105037349640",NA,"Global Publics, Political Parties and Morality: An Analysis Based on the World Values Survey","Springerbriefs in Political Science",2025,"10.1007/978-3-031-97551-6",0,"","Tausch A.","party_linkages"
"Scopus","SCOPUS_ID:105021320827",NA,"The Geopolitical Arrays of Digital Transformation in Uganda: Discourse, Homogeneity, and Territory","Postdigital Science and Education Switzerland",2025,"10.1007/978-3-031-99378-7_14",3,"","Gallagher M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105026572739",NA,"Beyond Populism and Polarization: The Permanent Crisis of the Supply Side of Politics","Contributions to Political Science",2025,"10.1007/978-3-032-06596-4_3",0,"","Luna J.P.","party_linkages"
"Scopus","SCOPUS_ID:105036724757",NA,"Regulatory Gaps and Reforms in South Africa’s Oversight: Political Financing, Terrorist Funding, and Cybercrime","Springer Proceedings in Business and Economics",2026,"10.1007/978-3-032-13388-5_8",0,"","Asvat A.","party_linkages"
"Scopus","SCOPUS_ID:105030009031",NA,"Social Structures and the Making of Museveni’s Civil-Authoritarian Regime in Uganda","Social Structures and the Making of Musevenis Civil Authoritarian Regime in Uganda",2026,"10.1007/978-3-032-14015-9",1,"","Bareebe G.","party_linkages; responsiveness_patronage"
"Scopus","SCOPUS_ID:105045438650",NA,"Comparative Electoral Politics and the Quest for Representation in West Asia and North Africa","Comparative Electoral Politics and the Quest for Representation in West Asia and North Africa",2026,"10.1007/978-981-95-3704-4",0,"","Ashwarya S.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105019576064",NA,"Enchanted Urbanisms: Migration, witchcraft, cults, and the remaking of authority in rough African peri-urban frontiers","Dialectical Anthropology",2026,"10.1007/s10624-025-09798-4",0,"","Bhanye J.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85191683968",NA,"Opening the black box of student government in authoritarian contexts: institutional work and intra-organisational conflicts in the Students’ Guild at Makerere University, Uganda","Higher Education",2025,"10.1007/s10734-024-01229-7",0,"","Felde A.K.","party_linkages"
"Scopus","SCOPUS_ID:105042312110",NA,"Understanding the Sensitivity of Party Identification Questions in Polarized African Contexts","Political Behavior",2026,"10.1007/s11109-025-10058-y",0,"","Davis J.M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85217193471",NA,"Broker Rhetoric and Persuasion in Clientelist Systems","Studies in Comparative International Development",2026,"10.1007/s12116-024-09452-0",0,"","Mueller L.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105044008393",NA,"Mapping the uneven landscape: a spatial analysis of national sports stadium distribution in Ghana","SN Social Sciences",2026,"10.1007/s43545-026-01537-y",0,"","Ansah-Opoku K.O.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105039480262",NA,"Quantifying the Effect of Partisanship on Citizens Collective Action Against Corruption in African Democracies: A Quasi-Experimental Approach","International Criminology",2026,"10.1007/s43576-025-00199-9",1,"","Oboro-Offerie R.A.","party_linkages; responsiveness_patronage"
"Scopus","SCOPUS_ID:105036972867",NA,"University libraries in the age of generative AI: Perceptions and usage among students in developing countries","Journal of Academic Librarianship",2026,"10.1016/j.acalib.2026.103253",2,"","Oladokun B.D.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105029221653",NA,"The politics of informal settlements in African cities: Comparative insights from Accra, Freetown, Harare and Kampala","Cities",2026,"10.1016/j.cities.2026.106782",0,"","Hickey S.","responsiveness_patronage"
